,iters,delta,resid
0,1,0.23551506236006636,1.0
1,2,0.14251684569055623,0.6051283695506058
2,3,0.11170180683300833,0.4742873161217749
3,4,0.09437497359177197,0.4007173581428397
4,5,0.08390075568344678,0.3562436934720354
5,6,0.07781131410784697,0.33038784580531594
6,7,0.07356055899345194,0.3123390846271613
7,8,0.07011100166200528,0.2976922195949248
8,9,0.06716987974696716,0.28520417791484914
9,10,0.06459194988724466,0.27425825439773144
10,11,0.0622767024854015,0.26442768399326405
11,12,0.06015723598168872,0.25542840181371307
12,13,0.058188028275733654,0.24706712043229362
13,14,0.056340970624541166,0.2392244897628012
14,15,0.0545972675794688,0.23182070408727387
15,16,0.05293829272020751,0.2247766753842393
16,17,0.051350306275784664,0.2180340644084918
17,18,0.04982715286400742,0.2115667353276512
18,19,0.048362063831242606,0.20534594835087208
19,20,0.04694778675120334,0.19934090958236622
20,21,0.045581648437892024,0.19354026863982346
21,22,0.04426118599183946,0.18793356802025216
22,23,0.042982252795386734,0.18250320113145657
23,24,0.041743374639807866,0.17724290846412472
24,25,0.040543698872061815,0.1721490696424194
25,26,0.039380452669445426,0.16720991122529041
26,27,0.0382523580340656,0.16242000681715899
27,28,0.0371591087486914,0.1577780562157032
28,29,0.03609868763456983,0.15327549445385572
29,30,0.03506974264921628,0.14890658074174482
30,31,0.03407205250932206,0.14467037550758058
31,32,0.03310409314074661,0.14056040751285595
32,33,0.032164476968055,0.13657078509433274
33,34,0.031252933359476175,0.1327003591460118
34,35,0.03036829578943246,0.12894417658520713
35,36,0.02950922409442846,0.1252965470603888
36,37,0.02867538894218851,0.12175607222245617
37,38,0.02786590173831511,0.11831897908810787
38,39,0.027079527742835258,0.11498002493545323
39,40,0.02631589740252468,0.11173764063672377
